Order_ID,Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Ship_Date,Units_Sold,Unit_Price,Unit_Cost
957081544,Central America and the Caribbean,Antigua and Barbuda ,Baby Food,Online,M,12/20/13,1/11/14,552,255.28,159.42
301644504,Central America and the Caribbean,Panama,Snacks,Offline,C,7/5/10,7/26/10,2167,152.58,97.44
478051030,Europe,Czech Republic,Beverages,Offline,C,9/12/11,9/29/11,4778,47.45,31.79
892599952,Asia,North Korea,Cereal,Offline,L,5/13/10,6/15/10,9016,205.7,117.11
571902596,Asia,Sri Lanka,Snacks,Offline,C,7/20/15,7/27/15,7542,152.58,97.44
412882792,Middle East and North Africa,Morocco,Personal Care,Offline,L,11/8/10,11/22/10,48,81.73,56.67
932776868,Australia and Oceania,Federated States of Micronesia,Clothes,Offline,H,3/28/11,5/10/11,8258,109.28,35.84
919133651,Europe,Bosnia and Herzegovina,Clothes,Online,M,10/14/13,11/4/13,927,109.28,35.84
579814469,Middle East and North Africa,Afghanistan,Clothes,Offline,M,8/27/16,10/5/16,8841,109.28,35.84
192993152,Sub-Saharan Africa,Ethiopia,Baby Food,Online,M,4/13/15,5/7/15,9817,255.28,159.42
557156026,Middle East and North Africa,Turkey,Office Supplies,Offline,C,9/25/13,10/15/13,3704,651.21,524.96
741101920,Middle East and North Africa,Oman,Cosmetics,Online,M,5/12/13,5/17/13,7382,437.2,263.33
333942162,Asia,Malaysia,Cereal,Offline,L,7/31/16,8/25/16,9762,205.7,117.11
795100581,Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,H,7/6/15,7/16/15,6786,437.2,263.33
504313504,Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Online,L,11/28/10,12/3/10,6428,255.28,159.42
611629760,Middle East and North Africa,Lebanon,Meat,Offline,H,12/17/15,1/31/16,3693,421.89,364.69
987410676,Europe,Austria,Cereal,Offline,C,8/13/14,9/6/14,5616,205.7,117.11
672330081,Europe,Bulgaria,Office Supplies,Online,L,10/31/10,11/29/10,6266,651.21,524.96
127374303,North America,Mexico,Beverages,Online,C,3/13/17,3/20/17,1742,47.45,31.79
783842170,Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,C,4/16/13,6/1/13,5172,255.28,159.42
993345010,Middle East and North Africa,Libya,Beverages,Offline,L,1/18/10,3/3/10,1718,47.45,31.79
977806651,Middle East and North Africa,Algeria,Baby Food,Offline,M,9/5/15,10/14/15,3572,255.28,159.42
579463422,Europe,Estonia,Fruits,Online,L,9/28/16,11/1/16,4958,9.33,6.92
610864150,Australia and Oceania,Tuvalu,Beverages,Offline,L,3/22/12,4/7/12,7132,47.45,31.79
604870164,Middle East and North Africa,Saudi Arabia,Snacks,Offline,L,4/25/17,6/5/17,3378,152.58,97.44
164655292,Central America and the Caribbean,Cuba,Cereal,Online,H,3/13/14,5/1/14,4015,205.7,117.11
